GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US19,19,Iowa,1600000US1918390,1918390,"Iowa - PLACE - Danbury city, Woodbury County","Danbury city, Woodbury County",348,185,0.40,0.00,0.40,859.5,456.9
0400000US19,19,Iowa,1600000US1918435,1918435,"Iowa - PLACE - Danville city, Des Moines County","Danville city, Des Moines County",934,387,0.75,0.00,0.75,1237.7,512.8
0400000US19,19,Iowa,1600000US1919000,1919000,"Iowa - PLACE - Davenport city, Scott County","Davenport city, Scott County",99685(r42149),44087(r18513),65.07,2.13,62.95,1583.6,700.4
0400000US19,19,Iowa,1600000US1919090,1919090,"Iowa - PLACE - Davis City city, Decatur County","Davis City city, Decatur County",204,121,0.59,0.00,0.59,345.8,205.1
0400000US19,19,Iowa,1600000US1919135,1919135,"Iowa - PLACE - Dawson city, Dallas County","Dawson city, Dallas County",131,63,0.48,0.00,0.48,274.2,131.9
0400000US19,19,Iowa,1600000US1919180,1919180,"Iowa - PLACE - Dayton city, Webster County","Dayton city, Webster County",837,376,0.85,0.00,0.85,989.1,444.3
0400000US19,19,Iowa,1600000US1919360,1919360,"Iowa - PLACE - Decatur City city, Decatur County","Decatur City city, Decatur County",197,91,0.40,0.00,0.40,495.7,229.0
0400000US19,19,Iowa,1600000US1919405,1919405,"Iowa - PLACE - Decorah city, Winneshiek County","Decorah city, Winneshiek County",8127,3121,7.04,0.03,7.01,1158.9,445.0
0400000US19,19,Iowa,1600000US1919450,1919450,"Iowa - PLACE - Dedham city, Carroll County","Dedham city, Carroll County",266,107,0.58,0.00,0.58,459.4,184.8
0400000US19,19,Iowa,1600000US1919495,1919495,"Iowa - PLACE - Deep River city, Poweshiek County","Deep River city, Poweshiek County",279,130,0.43,0.00,0.43,656.1,305.7
0400000US19,19,Iowa,1600000US1919585,1919585,"Iowa - PLACE - Defiance city, Shelby County","Defiance city, Shelby County",284,132,0.39,0.00,0.39,720.9,335.0
0400000US19,19,Iowa,1600000US1919630,1919630,"Iowa - PLACE - Delaware city, Delaware County","Delaware city, Delaware County",159,85,0.81,0.01,0.80,198.6,106.2
0400000US19,19,Iowa,1600000US1919675,1919675,"Iowa - PLACE - Delhi city, Delaware County","Delhi city, Delaware County",460,225,1.03,0.05,0.97,472.4,231.0
0400000US19,19,Iowa,1600000US1919720,1919720,"Iowa - PLACE - Delmar city, Clinton County","Delmar city, Clinton County",525,227,0.76,0.00,0.76,691.1,298.8
0400000US19,19,Iowa,1600000US1919765,1919765,"Iowa - PLACE - Deloit city, Crawford County","Deloit city, Crawford County",264,123,0.42,0.00,0.42,633.0,294.9
0400000US19,19,Iowa,1600000US1919810,1919810,"Iowa - PLACE - Delphos city, Ringgold County","Delphos city, Ringgold County",25,15,0.22,0.00,0.22,112.3,67.4
